国家,营业额_2026-05,营业额_2026-06,成单数_2026-06,成单人数_2026-06
汇总（所有国家）,3350505,3465750,59029,31872
重点国家,2800151,2889521,49064,27531
全球（其他国家）,550354,576229,9965,4421
印度尼西亚,1199034,1304123,28276,17271
墨西哥,500687,488018,6904,3446
沙特阿拉伯,284797,281349,1653,1024
阿联酋,306381,277048,2046,1056
吉尔吉斯斯坦,230006,252930,4791,2449
斯里兰卡,210139,201073,4610,1882
伊拉克,69108,84980,784,408
美国,53946,73767,1062,197
牙买加,65298,61683,396,247
尼日利亚,52958,57181,1129,564
巴西,39660,51649,1078,558
埃及,23390,24131,599,178
