month,compare_month,country_key,country_label,source_key,source_label,gmv_prev,gmv_cur,old_gmv_prev,old_gmv_cur,new_gmv_prev,new_gmv_cur,orders_total_prev,orders_total_cur,orders_success_prev,orders_success_cur,success_users_prev,success_users_cur,success_rate_prev,success_rate_cur,new_users_prev,new_users_cur,repurchase_rate_prev,repurchase_rate_cur,retention_rate_prev,retention_rate_cur,conversion_rate_prev,conversion_rate_cur
2026-05,2026-04,印度尼西亚,印度尼西亚,易付全球(小程序),易付全球(小程序),716059,800276,589325,679402,126735,120874,18194,20176,15341,17244,9308,10415,0.8431900626580191,0.8546788263283108,2412,2234,0.6895058583800305,0.6855393210141814,0.6009501187648456,0.6219718309859155,0.5990878938640133,0.6029543419874664
2026-05,2026-04,印度尼西亚,印度尼西亚,easy大马生活(公众号),easy大马生活(公众号),27,883,27,564,0,319,9,24,2,24,1,12,0.2222222222222222,1.0,4,12,0.0,1.0,,,0.0,0.25
2026-05,2026-04,印度尼西亚,印度尼西亚,易付全球(公众号),易付全球(公众号),323173,370082,250731,294086,72442,75996,8039,8948,6862,7842,4393,4893,0.8535887548202513,0.8763969602145731,1504,1574,0.6067300282558438,0.5918506715228773,0.4142857142857143,0.4259789875835721,0.589095744680851,0.6289707750952986
2026-05,2026-04,印度尼西亚,印度尼西亚,easy大马生活(小程序),easy大马生活(小程序),3039,1252,2668,1252,371,0,94,34,69,23,41,17,0.7340425531914894,0.6764705882352942,18,8,0.6,0.34146341463414637,0.6666666666666666,0.25,0.16666666666666666,0.0
2026-05,2026-04,印度尼西亚,印度尼西亚,e付全酋(小程序),e付全酋(小程序),2087,1978,1511,1874,576,104,58,43,48,38,30,27,0.8275862068965517,0.8837209302325582,10,12,0.7727272727272727,0.7333333333333333,,0.5,0.5,0.16666666666666666
2026-05,2026-04,印度尼西亚,印度尼西亚,支付宝小程序,支付宝小程序,30490,23570,25056,19462,5434,4107,783,644,655,517,386,304,0.8365261813537676,0.8027950310559007,147,119,0.5222222222222223,0.45077720207253885,0.36893203883495146,0.352112676056338,0.2653061224489796,0.31092436974789917
2026-05,2026-04,印度尼西亚,印度尼西亚,e付全酋(公众号),e付全酋(公众号),1309,993,1263,895,47,98,23,28,22,22,9,11,0.9565217391304348,0.7857142857142857,1,3,0.7,0.6666666666666666,,1.0,1.0,0.3333333333333333
2026-05,2026-04,印度尼西亚,印度尼西亚,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,墨西哥,墨西哥,__ALL__,来源汇总,481624,500687,451698,470268,29926,30418,7226,7598,6706,7006,3288,3457,0.928037641848879,0.9220847591471439,359,331,0.7488357652902825,0.7843673965936739,0.6541353383458647,0.703971119133574,0.6462395543175488,0.6374622356495468
2026-05,2026-04,墨西哥,墨西哥,易付全球(小程序),易付全球(小程序),337326,355854,316019,335675,21308,20179,5153,5401,4770,5016,2331,2483,0.9256743644478944,0.9287169042769857,225,225,0.7441241685144124,0.7816387816387816,0.6388888888888888,0.7037037037037037,0.6044444444444445,0.6044444444444445
2026-05,2026-04,墨西哥,墨西哥,easy大马生活(公众号),easy大马生活(公众号),0,647,0,647,0,0,0,68,0,31,0,1,,0.45588235294117646,0,0,,,,,,
